# xp yp zp Ez Er |E| Hp
# 1166 7
# 1 11 106 7
 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.93076300e+06  0.00000000e+00  1.93076300e+06  0.00000000e+00
 9.98714000e-04  0.00000000e+00  0.00000000e+00  1.92718500e+06  0.00000000e+00  1.92718500e+06  0.00000000e+00
 1.99743000e-03  0.00000000e+00  0.00000000e+00  1.91713400e+06  0.00000000e+00  1.91713400e+06  0.00000000e+00
 2.99614000e-03  0.00000000e+00  0.00000000e+00  1.90006200e+06  0.00000000e+00  1.90006200e+06  0.00000000e+00
 3.99486000e-03  0.00000000e+00  0.00000000e+00  1.87550900e+06  0.00000000e+00  1.87550900e+06  0.00000000e+00
 4.99357000e-03  0.00000000e+00  0.00000000e+00  1.84275500e+06  0.00000000e+00  1.84275500e+06  0.00000000e+00
 5.99229000e-03  0.00000000e+00  0.00000000e+00  1.80090000e+06  0.00000000e+00  1.80090000e+06  0.00000000e+00
 6.99100000e-03  0.00000000e+00  0.00000000e+00  1.74888100e+06  0.00000000e+00  1.74888100e+06  0.00000000e+00
 7.98971000e-03  0.00000000e+00  0.00000000e+00  1.68552200e+06  0.00000000e+00  1.68552200e+06  0.00000000e+00
 8.98843000e-03  0.00000000e+00  0.00000000e+00  1.60960600e+06  0.00000000e+00  1.60960600e+06  0.00000000e+00
 9.98714000e-03  0.00000000e+00  0.00000000e+00  1.51999800e+06  0.00000000e+00  1.51999800e+06  0.00000000e+00
 1.09859000e-02  0.00000000e+00  0.00000000e+00  1.41580100e+06  0.00000000e+00  1.41580100e+06  0.00000000e+00
 1.19846000e-02  0.00000000e+00  0.00000000e+00  1.29655800e+06  0.00000000e+00  1.29655800e+06  0.00000000e+00
 1.29833000e-02  0.00000000e+00  0.00000000e+00  1.16246900e+06  0.00000000e+00  1.16246900e+06  0.00000000e+00
 1.39820000e-02  0.00000000e+00  0.00000000e+00  1.01459800e+06  0.00000000e+00  1.01459800e+06  0.00000000e+00
 1.49807000e-02  0.00000000e+00  0.00000000e+00  8.55015600e+05  0.00000000e+00  8.55015600e+05  0.00000000e+00
 1.59794000e-02  0.00000000e+00  0.00000000e+00  6.82941700e+05  0.00000000e+00  6.82941700e+05  0.00000000e+00
 1.69781000e-02  0.00000000e+00  0.00000000e+00  5.09891200e+05  0.00000000e+00  5.09891200e+05  0.00000000e+00
 1.79769000e-02  0.00000000e+00  0.00000000e+00  3.40866300e+05  0.00000000e+00  3.40866300e+05  0.00000000e+00
 1.89756000e-02  0.00000000e+00  0.00000000e+00  1.72144000e+05  0.00000000e+00  1.72144000e+05  0.00000000e+00
 1.99743000e-02  0.00000000e+00  0.00000000e+00  1.18859800e+04  0.00000000e+00  1.18859800e+04  0.00000000e+00
 2.09730000e-02  0.00000000e+00  0.00000000e+00 -1.36625200e+05  0.00000000e+00  1.36625200e+05  0.00000000e+00
 2.19717000e-02  0.00000000e+00  0.00000000e+00 -2.71180500e+05  0.00000000e+00  2.71180500e+05  0.00000000e+00
 2.29704000e-02  0.00000000e+00  0.00000000e+00 -3.89735000e+05  0.00000000e+00  3.89735000e+05  0.00000000e+00
